source_scheme,source_id,target_scheme,target_id,relation,rationale_de,rationale_en,origin,read_on
iso-iec-27001:2022,4.3,nist-csf:2.0,GV.OC-04,partial,"Beide Seiten grenzen ab, wofür die Organisation einsteht. Die Anforderung verlangt eine festgelegte und dokumentierte Grenze des Managementsystems, das Rahmenwerk verlangt das Verstehen und Mitteilen der Leistungen, auf die andere sich verlassen, und kennt keine Grenze eines Managementsystems.","Both sides delimit what the organisation answers for. The requirement asks for a settled and documented boundary of the management system; the framework asks that the services others rely on are understood and communicated, and knows no boundary of a management system.",own_reading,2026-08-07
iso-iec-27001:2022,5.1,nist-csf:2.0,GV.RR-01,partial,"Die Leitung trägt auf beiden Seiten die Verantwortung und prägt die Haltung. Die Anforderung zählt daneben einzelne Pflichten auf, etwa das Bereitstellen von Mitteln; der Punkt des Rahmenwerks bleibt bei Verantwortung und Kultur.","Leadership carries the responsibility and shapes the attitude on both sides. The requirement additionally lists single duties, such as making resources available; the framework's point stays with accountability and culture.",own_reading,2026-08-07
iso-iec-27001:2022,5.2,nist-csf:2.0,GV.PO-01,partial,"Gegenstand ist hier wie dort eine von der Leitung getragene Leitlinie. Die Anforderung verlangt darin Ziele und eine Selbstverpflichtung zur Verbesserung, der Punkt des Rahmenwerks verlangt stattdessen, dass die Leitlinie durchgesetzt wird.",The subject on both sides is a policy carried by leadership. The requirement asks that it hold objectives and a commitment to improvement; the framework's point instead asks that the policy be enforced.,own_reading,2026-08-07
iso-iec-27001:2022,5.3,nist-csf:2.0,GV.RR-02,equivalent,"Rollen, Verantwortlichkeiten und Befugnisse werden auf beiden Seiten festgelegt und bekanntgemacht. Ein Unterschied im Gegenstand ist nicht zu erkennen.","Roles, responsibilities and authorities are settled and made known on both sides. No difference in subject is visible.",own_reading,2026-08-07
iso-iec-27001:2022,6.1.2,nist-csf:2.0,ID.RA-05,partial,"Beide bringen Bedrohung, Schwachstelle, Wahrscheinlichkeit und Auswirkung zu einer Einschätzung zusammen, aus der eine Reihenfolge folgt. Die Anforderung verlangt zusätzlich festgelegte Kriterien und ein wiederholbares Verfahren; das steht im Rahmenwerk an anderer Stelle und nicht hier.","Both bring threat, vulnerability, likelihood and impact together into an assessment from which an order follows. The requirement additionally asks for settled criteria and a repeatable method; in the framework that stands elsewhere and not here.",own_reading,2026-08-07
iso-iec-27001:2022,6.1.2,nist-csf:2.0,GV.RM-06,partial,"Die zweite Hälfte der Anforderung, ein festgelegtes und wiederholbares Verfahren zum Einstufen und Priorisieren, hat hier ihre Entsprechung. Der Punkt des Rahmenwerks bleibt beim Verfahren und sagt nichts über den einzelnen Durchgang.","The second half of the requirement, a settled and repeatable method for categorising and prioritising, has its counterpart here. The framework's point stays with the method and says nothing about the single pass.",own_reading,2026-08-07
iso-iec-27001:2022,6.1.3,nist-csf:2.0,ID.RA-06,broader,"Das Wählen, Planen und Nachhalten einer Risikoantwort steht auf beiden Seiten. Die Anforderung geht darüber hinaus: sie verlangt die Erklärung zur Anwendbarkeit gegen den Anhang und die Genehmigung des Restrisikos, und beides hat im Rahmenwerk keine Entsprechung.","Choosing, planning and tracking a risk response stands on both sides. The requirement goes beyond that: it asks for the statement of applicability against the annex and for approval of the residual risk, and neither has a counterpart in the framework.",own_reading,2026-08-07
iso-iec-27001:2022,7.2,nist-csf:2.0,PR.AT-02,partial,"Beide verlangen, dass wer eine besondere Aufgabe trägt, sie auch kann. Die Anforderung fragt nach dem Nachweis der Befähigung und lässt offen, wie sie entsteht; der Punkt des Rahmenwerks nennt Schulung als den Weg dorthin.",Both ask that whoever carries a particular task is able to do it. The requirement asks for evidence of competence and leaves open how it comes about; the framework's point names training as the way there.,own_reading,2026-08-07
iso-iec-27001:2022,7.3,nist-csf:2.0,PR.AT-01,partial,"Beide richten sich an alle Beschäftigten. Die Anforderung will, dass sie die Leitlinie, ihren eigenen Beitrag und die Folgen einer Abweichung kennen; der Punkt des Rahmenwerks will Wissen und Fähigkeiten für die tägliche Arbeit und nennt die Leitlinie nicht.","Both address every member of staff. The requirement wants them to know the policy, their own contribution and the consequences of a deviation; the framework's point wants knowledge and skills for everyday work and does not name the policy.",own_reading,2026-08-07
iso-iec-27001:2022,7.5,nist-csf:2.0,,none,"Die gelenkte Dokumentation, also das Erstellen, Freigeben, Verteilen und Aufbewahren von Aufzeichnungen als eigene Anforderung, ist in keinem der 106 Punkte der Gegenstand. Das Rahmenwerk setzt Aufzeichnungen an einzelnen Stellen voraus und regelt ihre Lenkung nicht.","Documented information as a requirement of its own, so creating, approving, distributing and retaining records, is the subject of none of the 106 outcomes. The framework presumes records at single places and does not settle their control.",own_reading,2026-08-07
