source_scheme,source_id,target_scheme,target_id,relation,rationale_de,rationale_en,origin,read_on
iso-iec-27002:2022,5.1,cis-controls:8.1,,none,Keine der achtzehn Maßnahmen hat die Leitlinie zur Informationssicherheit zum Gegenstand. Der Rahmen setzt bei der Technik an und überlässt die Steuerung darüber dem Managementsystem.,None of the eighteen controls has the information security policy as its subject. The framework starts at the technical end and leaves the steering above it to the management system.,own_reading,2026-08-06
iso-iec-27002:2022,5.7,cis-controls:8.1,,none,Bedrohungsinformationen laufend zu beschaffen und auszuwerten ist in keiner der achtzehn Maßnahmen der Gegenstand.,Continuously obtaining and evaluating threat intelligence is the subject of none of the eighteen controls.,own_reading,2026-08-06
iso-iec-27002:2022,5.9,cis-controls:8.1,1,partial,"Beide verlangen ein gepflegtes Verzeichnis dessen, was da ist. Die Maßnahme meint auch Informationen und nicht nur Geräte, die Zählung im Rahmen bleibt bei den Geräten.",Both require a maintained inventory of what is there. The control also means information and not only devices; the framework's count stays with the devices.,own_reading,2026-08-06
iso-iec-27002:2022,5.9,cis-controls:8.1,2,partial,"Dieselbe Forderung für die Seite der Software. Der Rahmen führt sie als eigene Maßnahme, die Norm fasst sie mit den übrigen Werten zusammen.",The same requirement for the software side. The framework carries it as a control of its own; the standard folds it in with the remaining assets.,own_reading,2026-08-06
iso-iec-27002:2022,5.12,cis-controls:8.1,3,partial,Daten nach ihrer Empfindlichkeit zu unterscheiden steht auf beiden Seiten. Der Rahmen behandelt die Einstufung als Teil des Umgangs mit Daten insgesamt.,Telling data apart by its sensitivity stands on both sides. The framework treats the grading as part of handling data as a whole.,own_reading,2026-08-06
iso-iec-27002:2022,5.13,cis-controls:8.1,3,narrower,Die Kennzeichnung ist im Rahmen einer der Punkte im Umgang mit Daten und dort nicht eigens herausgestellt.,Labelling is one of the points on handling data in the framework and is not singled out there.,own_reading,2026-08-06
iso-iec-27002:2022,5.15,cis-controls:8.1,6,partial,"Beide verlangen Regeln dafür, wer worauf zugreifen darf. Der Rahmen trennt das Verwalten der Konten davon ab und führt es als eigene Maßnahme.",Both require rules for who may access what. The framework separates the administration of accounts from it and carries that as a control of its own.,own_reading,2026-08-06
iso-iec-27002:2022,5.16,cis-controls:8.1,5,narrower,Der Lebensweg eines Kontos vom Anlegen bis zum Sperren ist im Rahmen der Gegenstand einer eigenen Maßnahme.,The life of an account from creation to blocking is the subject of a control of its own in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,5.17,cis-controls:8.1,5,narrower,"Wie Geheimnisse zur Anmeldung vergeben und gewechselt werden, steht im Rahmen bei der Verwaltung der Konten.",How authentication secrets are issued and changed sits with account administration in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,5.18,cis-controls:8.1,6,narrower,"Rechte zu vergeben, zu prüfen und wieder zu entziehen ist im Rahmen einer der Punkte der Zugriffssteuerung.","Granting, reviewing and withdrawing rights is one of the points of access control in the framework.",own_reading,2026-08-06
iso-iec-27002:2022,5.19,cis-controls:8.1,15,partial,"Der Dienstleister ist beiderseits ein eigener Gegenstand. Die Norm beginnt bei der Richtlinie, der Rahmen bei einem Verzeichnis der Dienstleister.","The service provider is a subject of its own on both sides. The standard starts at the policy, the framework at an inventory of providers.",own_reading,2026-08-06
iso-iec-27002:2022,5.20,cis-controls:8.1,15,partial,"Dass die Anforderungen in die Vereinbarung gehören, verlangen beide. Der Rahmen nennt daneben das geordnete Beenden der Beziehung.",That the requirements belong in the agreement is required by both. The framework also names the orderly end of the relationship.,own_reading,2026-08-06
iso-iec-27002:2022,5.22,cis-controls:8.1,15,narrower,Die Leistung des Dienstleisters zu überwachen ist im Rahmen einer der Punkte zum Umgang mit Dienstleistern.,Monitoring the provider's service is one of the points on dealing with providers in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,5.23,cis-controls:8.1,15,partial,"Fremde Rechenleistung fällt beiderseits unter den Dienstleister. Die Norm führt die Wolke als eigene Maßnahme, der Rahmen behandelt sie mit den übrigen Anbietern zusammen.",Foreign computing falls under the service provider on both sides. The standard carries the cloud as a control of its own; the framework treats it together with the remaining providers.,own_reading,2026-08-06
iso-iec-27002:2022,5.24,cis-controls:8.1,17,narrower,"Die Vorbereitung der Vorfallbehandlung, also Rollen, Meldewege und Plan, ist im Rahmen Teil einer einzigen Maßnahme zum Thema.","Preparing incident handling, so roles, reporting routes and plan, is part of a single control on the topic in the framework.",own_reading,2026-08-06
iso-iec-27002:2022,5.25,cis-controls:8.1,17,narrower,Ein Ereignis zu bewerten und einzustufen steht im Rahmen innerhalb derselben Maßnahme wie die Reaktion.,Assessing and grading an event stands inside the same control as the response in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,5.26,cis-controls:8.1,17,narrower,Die Reaktion auf den Vorfall ist im Rahmen einer der Schritte der einen Maßnahme zum Thema.,Responding to the incident is one of the steps of the single control on the topic in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,5.27,cis-controls:8.1,17,narrower,Aus einem Vorfall zu lernen und die Erkenntnis einzuarbeiten steht im Rahmen am Ende desselben Ablaufs.,Learning from an incident and working the finding back in stands at the end of the same course in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,5.29,cis-controls:8.1,11,broader,Die Maßnahme meint die Aufrechterhaltung der Informationssicherheit in der Störung insgesamt. Der Rahmen deckt davon die Wiederherstellung der Daten ab und nicht den Rest.,The control means keeping information security up during a disruption as a whole. The framework covers the recovery of the data out of that and not the rest.,own_reading,2026-08-06
iso-iec-27002:2022,5.30,cis-controls:8.1,11,broader,"Die Bereitschaft der Technik für den Notfall reicht weiter als das Wiederherstellen aus einer Sicherung, das der Rahmen verlangt.","ICT readiness for the emergency reaches further than restoring from a backup, which is what the framework requires.",own_reading,2026-08-06
iso-iec-27002:2022,5.31,cis-controls:8.1,,none,Rechtliche und vertragliche Anforderungen zu erheben ist in keiner der achtzehn Maßnahmen der Gegenstand.,Identifying legal and contractual requirements is the subject of none of the eighteen controls.,own_reading,2026-08-06
iso-iec-27002:2022,5.35,cis-controls:8.1,,none,"Eine unabhängige Überprüfung der Informationssicherheit führt der Rahmen nicht als Maßnahme. Was er dazu am nächsten hat, ist die Prüfung durch einen Angriffstest, und das ist etwas anderes.","The framework does not carry an independent review of information security as a control. The nearest thing it has is testing by an attack, and that is a different thing.",own_reading,2026-08-06
iso-iec-27002:2022,6.1,cis-controls:8.1,,none,Die Überprüfung von Bewerberinnen und Bewerbern ist in keiner der achtzehn Maßnahmen der Gegenstand. Der Rahmen berührt das Personal nur über die Sensibilisierung.,Screening applicants is the subject of none of the eighteen controls. The framework touches personnel only through awareness.,own_reading,2026-08-06
iso-iec-27002:2022,6.3,cis-controls:8.1,14,partial,"Sensibilisierung und Schulung sind beiderseits eigener Gegenstand. Der Rahmen bindet sie an bestimmte Fertigkeiten, die Maßnahme lässt den Zuschnitt offen.",Awareness and training are a subject of their own on both sides. The framework ties them to particular skills; the control leaves the cut open.,own_reading,2026-08-06
iso-iec-27002:2022,7.1,cis-controls:8.1,,none,Der Rahmen führt in dieser Ausgabe keine Maßnahme zur physischen Sicherheit. Das gilt für den Perimeter wie für die übrigen Maßnahmen des Kapitels 7 der Norm.,The framework carries no control on physical security in this version. That holds for the perimeter as it does for the remaining controls of the standard's clause 7.,own_reading,2026-08-06
iso-iec-27002:2022,7.10,cis-controls:8.1,3,partial,"Der Umgang mit Wechseldatenträgern überschneidet sich. Der Rahmen sieht ihn als Teil des Schutzes der Daten, die Maßnahme als eigenen Gegenstand mit Aufbewahrung und Transport.","The handling of removable media overlaps. The framework sees it as part of protecting the data, the control as a subject of its own with storage and transport.",own_reading,2026-08-06
iso-iec-27002:2022,8.1,cis-controls:8.1,4,partial,"Beide nehmen das Gerät der Anwenderin in den Blick. Der Rahmen setzt bei der sicheren Grundeinstellung an, die Maßnahme bei den Regeln für die Nutzung.","Both look at the user's device. The framework starts at the secure baseline setting, the control at the rules for use.",own_reading,2026-08-06
iso-iec-27002:2022,8.2,cis-controls:8.1,5,narrower,Erhöhte Rechte einzuschränken ist im Rahmen einer der Punkte bei der Verwaltung der Konten und dort eigens herausgestellt.,Restricting elevated rights is one of the points of account administration in the framework and is singled out there.,own_reading,2026-08-06
iso-iec-27002:2022,8.5,cis-controls:8.1,6,narrower,"Eine belastbare Anmeldung, insbesondere ein zweiter Faktor, ist im Rahmen einer der Punkte der Zugriffssteuerung.","A robust sign-in, a second factor above all, is one of the points of access control in the framework.",own_reading,2026-08-06
iso-iec-27002:2022,8.7,cis-controls:8.1,10,partial,"Der Schutz vor Schadprogrammen ist beiderseits eigener Gegenstand. Der Rahmen wird bei den einzusetzenden Mitteln konkreter, die Maßnahme bleibt bei der Forderung.",Protection against malware is a subject of its own on both sides. The framework gets more concrete on the means to use; the control stays with the requirement.,own_reading,2026-08-06
iso-iec-27002:2022,8.8,cis-controls:8.1,7,partial,"Schwachstellen zu erkennen und zu schließen fällt beiderseits an. Der Rahmen verlangt dafür einen wiederkehrenden Lauf mit Fristen, die Maßnahme nennt keine.",Finding and closing weaknesses arises on both sides. The framework requires a recurring run with deadlines for it; the control names none.,own_reading,2026-08-06
iso-iec-27002:2022,8.9,cis-controls:8.1,4,partial,"Die Konfiguration zu setzen und zu halten verlangen beide. Der Rahmen schreibt eine sichere Grundeinstellung je Geräteklasse vor, die Maßnahme bleibt beim Verfahren.",Setting and holding the configuration is required by both. The framework prescribes a secure baseline per class of device; the control stays with the procedure.,own_reading,2026-08-06
iso-iec-27002:2022,8.12,cis-controls:8.1,3,narrower,Den Abfluss von Daten zu verhindern ist im Rahmen einer der Punkte beim Schutz der Daten.,Preventing data from leaking out is one of the points of protecting the data in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,8.13,cis-controls:8.1,11,partial,"Sichern und Wiederherstellen verlangen beide. Der Rahmen verlangt daneben, dass die Wiederherstellung geprüft wird, was die Maßnahme nur nahelegt.","Backing up and restoring is required by both. The framework also requires the restore to be tested, which the control only suggests.",own_reading,2026-08-06
iso-iec-27002:2022,8.15,cis-controls:8.1,8,partial,"Protokolle zu führen ist beiderseits Gegenstand. Der Rahmen legt Umfang und Aufbewahrung fest, die Maßnahme lässt beides offen.",Keeping logs is a subject on both sides. The framework fixes scope and retention; the control leaves both open.,own_reading,2026-08-06
iso-iec-27002:2022,8.16,cis-controls:8.1,13,partial,"Den Betrieb auf auffällige Ereignisse hin zu beobachten steht auf beiden Seiten. Der Rahmen meint dabei vor allem das Netz, die Maßnahme jedes System.","Watching operations for conspicuous events stands on both sides. The framework mostly means the network, the control any system.",own_reading,2026-08-06
iso-iec-27002:2022,8.20,cis-controls:8.1,12,partial,"Das Netz abzusichern fällt beiderseits an. Der Rahmen setzt bei der Pflege der Netztechnik an, die Maßnahme beim Netz als Ganzem.","Securing the network arises on both sides. The framework starts at maintaining the network equipment, the control at the network as a whole.",own_reading,2026-08-06
iso-iec-27002:2022,8.21,cis-controls:8.1,12,narrower,Netzdienste sicher zu betreiben ist im Rahmen einer der Punkte zur Netztechnik.,Operating network services securely is one of the points on network equipment in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,8.22,cis-controls:8.1,12,narrower,Netze zu trennen ist im Rahmen eine der Anforderungen an den Aufbau des Netzes.,Segregating networks is one of the requirements on the build of the network in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,8.23,cis-controls:8.1,9,narrower,Den Zugriff auf Webinhalte zu filtern ist im Rahmen Teil der Maßnahme zu Browser und E-Mail.,Filtering access to web content is part of the control on browser and email in the framework.,own_reading,2026-08-06
iso-iec-27002:2022,8.24,cis-controls:8.1,3,partial,Verschlüsselung ist im Rahmen eines der Mittel beim Schutz der Daten. Die Maßnahme verlangt darüber hinaus eine Regelung zum Umgang mit den Schlüsseln.,Encryption is one of the means of protecting the data in the framework. The control also requires a rule for handling the keys.,own_reading,2026-08-06
iso-iec-27002:2022,8.25,cis-controls:8.1,16,narrower,"Sicherheit im Entwicklungsverlauf ist im Rahmen der Gegenstand einer einzigen Maßnahme, die die Norm auf mehrere verteilt.","Security across the development course is the subject of a single control in the framework, which the standard spreads over several.",own_reading,2026-08-06
