source_scheme,source_id,target_scheme,target_id,relation,rationale_de,rationale_en,origin,read_on
iso-iec-27001:2022,4.3,bsi-it-grundschutz:2023,ISMS.1,partial,"Beide setzen eine gezogene Grenze voraus, und beide verlangen, dass sie begründet ist. Wie der Zuschnitt entsteht, steht im Grundschutz nicht im Baustein, sondern in BSI-Standard 200-2.",Both assume a drawn boundary and both require it to be justified. How the cut is arrived at sits in BSI-Standard 200-2 rather than in the building block.,own_reading,2026-08-06
iso-iec-27001:2022,5.1,bsi-it-grundschutz:2023,ISMS.1,narrower,"Die Klausel verlangt, dass die Leitung das Managementsystem trägt. Der Baustein verlangt dasselbe und daneben die übrigen Aufgaben der Steuerung der Informationssicherheit.","The clause asks that top management carries the management system. The building block asks the same and, beside it, the remaining tasks of security management.",own_reading,2026-08-06
iso-iec-27001:2022,5.2,bsi-it-grundschutz:2023,ISMS.1,narrower,Eine beschlossene und bekannt gemachte Leitlinie ist auf beiden Seiten Pflicht. Im Baustein ist sie ein Punkt unter mehreren.,An adopted and published policy is mandatory on both sides. In the building block it is one point among several.,own_reading,2026-08-06
iso-iec-27001:2022,5.3,bsi-it-grundschutz:2023,ISMS.1,narrower,"Zuständigkeiten für die Informationssicherheit werden hier wie dort benannt und zugewiesen. Der Baustein geht darüber hinaus und regelt auch, wie die Rolle ausgestattet wird.",Responsibilities for information security get named and assigned on both sides. The building block goes further and also settles how the role is resourced.,own_reading,2026-08-06
iso-iec-27001:2022,6.1.2,bsi-it-grundschutz:2023,,none,"Kein Baustein hat die Risikobeurteilung zum Gegenstand. Im Grundschutz steht das Verfahren in BSI-Standard 200-3 und nicht im Kompendium, deshalb steht hier keine Kennung.","No building block has risk assessment as its subject. In IT-Grundschutz the method sits in BSI-Standard 200-3 and not in the compendium, so no identifier stands here.",own_reading,2026-08-06
iso-iec-27001:2022,6.1.3,bsi-it-grundschutz:2023,,none,"Die Behandlung ergibt sich im Grundschutz aus der Auswahl der Bausteine selbst und aus BSI-Standard 200-3. Ein einzelner Baustein, der ihr entspräche, ist nicht da.",In IT-Grundschutz the treatment follows from the selection of the building blocks themselves and from BSI-Standard 200-3. A single building block matching it is not there.,own_reading,2026-08-06
iso-iec-27001:2022,7.2,bsi-it-grundschutz:2023,ORP.2,partial,"Beide verlangen, dass die Leute ihrer Aufgabe gewachsen sind und dass das nachvollziehbar ist. Der Baustein regelt daneben Eintritt und Austritt, die Klausel tut das nicht.","Both ask that people are up to their task and that this is traceable. The building block also settles joining and leaving, which the clause does not.",own_reading,2026-08-06
iso-iec-27001:2022,7.3,bsi-it-grundschutz:2023,ORP.3,narrower,Bewusstsein ist auf beiden Seiten gefordert. Der Baustein verlangt daneben ein geplantes Schulungsangebot und eine Kontrolle seiner Wirkung.,Awareness is required on both sides. The building block also asks for a planned training offer and a check on whether it works.,own_reading,2026-08-06
iso-iec-27001:2022,7.5,bsi-it-grundschutz:2023,ISMS.1,partial,"Dass Festlegungen schriftlich vorliegen und gepflegt werden, verlangen beide. Die Klausel regelt Lenkung und Aktualität ausführlicher, der Baustein nennt vor allem die Dokumente, die es geben muss.",Both require that decisions are written down and kept up. The clause settles control and currency in more detail; the building block mostly names the documents that have to exist.,own_reading,2026-08-06
iso-iec-27001:2022,9.2,bsi-it-grundschutz:2023,DER.3.1,partial,"Eine planmäßige, unabhängige Prüfung des eigenen Systems ist beiderseits gefordert. Der Baustein deckt daneben Prüfungen ab, die kein internes Audit im Sinn der Klausel sind.","A planned, independent check of one's own system is required on both sides. The building block also covers checks that are not an internal audit in the sense of the clause.",own_reading,2026-08-06
iso-iec-27001:2022,9.3,bsi-it-grundschutz:2023,ISMS.1,narrower,"Dass die Leitung das System in festen Abständen bewertet und entscheidet, steht auf beiden Seiten. Im Baustein ist es einer der Punkte, die die Steuerung der Informationssicherheit leisten muss.",That top management reviews the system at set intervals and decides stands on both sides. In the building block it is one of the points security management has to deliver.,own_reading,2026-08-06
iso-iec-27001:2022,10.2,bsi-it-grundschutz:2023,ISMS.1,narrower,Abweichungen abstellen und die Ursache angehen verlangen beide. Der Baustein fasst das mit den übrigen Steuerungsaufgaben zusammen.,Correcting deviations and going after the cause is required by both. The building block folds it in with the remaining steering tasks.,own_reading,2026-08-06
iso-iec-27002:2022,5.1,bsi-it-grundschutz:2023,ISMS.1,narrower,Die Maßnahme fordert die Leitlinie und die daran hängenden Regelungen. Der Baustein fordert dasselbe als einen Teil der Steuerung der Informationssicherheit.,The control asks for the policy and the rules hanging off it. The building block asks for the same as one part of security management.,own_reading,2026-08-06
iso-iec-27002:2022,5.2,bsi-it-grundschutz:2023,ORP.1,partial,Rollen und Zuständigkeiten sind auf beiden Seiten festzulegen. Der Baustein sieht sie als Teil des Aufbaus der Institution und regelt mehr als nur die Sicherheitsrollen.,Roles and responsibilities are to be settled on both sides. The building block sees them as part of the organisational structure and settles more than the security roles alone.,own_reading,2026-08-06
iso-iec-27002:2022,5.3,bsi-it-grundschutz:2023,ORP.1,narrower,Aufgabentrennung wird hier wie dort verlangt. Im Baustein ist sie eine Anforderung neben anderen an den Aufbau der Institution.,Segregation of duties is required on both sides. In the building block it is one requirement on the organisation among others.,own_reading,2026-08-06
iso-iec-27002:2022,5.7,bsi-it-grundschutz:2023,,none,Kein Baustein dieser Ausgabe hat Bedrohungsinformationen zum Gegenstand. Die Gefährdungssicht des Grundschutzes steckt in den elementaren Gefährdungen und ist etwas anderes als das laufende Beschaffen und Auswerten von Lageinformationen.,No building block of this edition has threat intelligence as its subject. The threat view of IT-Grundschutz sits in the elementary threats and is a different thing from continuously obtaining and evaluating situational information.,own_reading,2026-08-06
